SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2451 Midtown Ave #1025,Alexandria,VA,22303,319900,1,1.0,MIDTOWN ALEXANDRIA STATI,805,,2007,51,397,373,Active,,,https://www.redfin.com/VA/Alexandria/2451-Midtown-Ave-22303/unit-1025/home/22060305,BRIGHT MLS,VAFX2026288,N,Y,38.7966107,-77.0742479
MLS Listing,,Townhouse,8284 Clifton Farm Ct,Alexandria,VA,22306,550000,4,3.5,HUNTINGTON AT MOUNT VERN,2158,2438,1978,59,255,115,Active,,,https://www.redfin.com/VA/Alexandria/8284-Clifton-Farm-Ct-22306/home/9819675,BRIGHT MLS,VAFX2025800,N,Y,38.733809,-77.078494
MLS Listing,,Condo/Co-op,1731 Preston Rd #960,Alexandria,VA,22302,327000,1,1.0,PARKFAIRFAX,780,,1941,74,419,399,Active,,,https://www.redfin.com/VA/Alexandria/1731-Preston-Rd-22302/unit-960/home/177016175,BRIGHT MLS,VAAX2003972,N,Y,38.8365403,-77.0826716
MLS Listing,,Condo/Co-op,7975 Audubon Ave Unit A1,Alexandria,VA,22306,182000,2,1.5,COLCHESTER TOWNE CONDO,872,,1973,79,209,490,Active,,,https://www.redfin.com/VA/Alexandria/7975-Audubon-Ave-22306/unit-A1/home/9813413,BRIGHT MLS,VAFX2023042,N,Y,38.7410736,-77.0931839
MLS Listing,,Townhouse,2910 S Dinwiddie St,Arlington,VA,22206,525000,3,2.0,FAIRLINGTON VILLAGE,1383,,1948,94,380,406,Active,,,https://www.redfin.com/VA/Arlington/2910-S-Dinwiddie-St-22206/home/11861473,BRIGHT MLS,VAAX2003240,N,Y,38.8386934,-77.1040904
MLS Listing,,Condo/Co-op,1 W Maple St #102,Alexandria,VA,22301,310000,1,1.0,ROSEMONT,540,,1938,124,574,307,Active,,,https://www.redfin.com/VA/Alexandria/1-W-Maple-St-22301/unit-102/home/143365448,BRIGHT MLS,VAAX2002228,N,Y,38.8115044,-77.0617065
MLS Listing,,Single Family Residential,8912 Dogue Dr,Alexandria,VA,22309,799900,5,3.5,KEYS AND RUSSELL,3640,21783,1955,137,220,,Active,,,https://www.redfin.com/VA/Alexandria/8912-Dogue-Dr-22309/home/9825261,BRIGHT MLS,VAFX2009658,N,Y,38.7159866,-77.1253032
MLS Listing,,Condo/Co-op,906 S Washington St #213,Alexandria,VA,22314,194900,0,1.0,BEARINGS SOUTH,469,,1941,173,416,345,Active,,,https://www.redfin.com/VA/Alexandria/906-S-Washington-St-22314/unit-213/home/11878824,BRIGHT MLS,VAAX260728,N,Y,38.7955846,-77.0484858
Redfin Data,,Condo/Co-op,7928 Casa Grande Pl Unit C,Alexandria,VA,22309,224900,2,1.5,Alexandria,1100,,1978,2,204,460,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/7928-Casa-Grande-Pl-22309/unit-C/home/22076720,Coming Soon,79077,N,Y,38.7462525,-77.0967
Redfin Data,,Single Family Residential,1425 N Chambliss St,Alexandria,VA,22312,700000,4,3.0,Alexandria,2361,12197,1956,12,296,,Pre On-Market,,,https://www.redfin.com/VA/Alexandria/1425-N-Chambliss-St-22312/home/11856657,Coming Soon,78867,N,Y,38.828716,-77.1360452
MLS Listing,,Condo/Co-op,3600 S Glebe Rd Unit 334W,Arlington,VA,22202,405000,1,1.0,ECLIPSE ON CENTER PARK,669,,2006,1,605,327,Active,,,https://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-334W/home/12042645,BRIGHT MLS,VAAR2007764,N,Y,38.8421491,-77.0516341
MLS Listing,,Townhouse,420 N Washington St,Alexandria,VA,22314,1299000,3,2.0,OLD TOWN ALEXANDRIA,2102,3272,1890,1,618,,Active,,,https://www.redfin.com/VA/Alexandria/420-N-Washington-St-22314/home/17061951,BRIGHT MLS,VAAX2005598,N,Y,38.8092025,-77.0463607
MLS Listing,,Condo/Co-op,4850 Eisenhower Ave #109,Alexandria,VA,22304,315000,2,1.0,EXCHANGE AT VAN DORN,935,,2003,1,337,451,Active,,,https://www.redfin.com/VA/Alexandria/4850-Eisenhower-Ave-22304/unit-109/home/11878315,BRIGHT MLS,VAAX2005970,N,Y,38.801947,-77.119551
MLS Listing,,Condo/Co-op,3705 S George Mason Dr Unit 617S,Falls Church,VA,22041,339900,2,2.0,SKYLINE PLAZA S CONDO,1321,,1975,1,257,718,Active,,,https://www.redfin.com/VA/Falls-Church/3705-S-George-Mason-Dr-22041/unit-617S/home/9658075,BRIGHT MLS,VAFX2032994,N,Y,38.84292,-77.1137662
MLS Listing,,Townhouse,04 Mountaineer Dr,Alexandria,VA,22306,649990,3,3.0,NORTH HILL,2008,3000,,1,324,112,Active,,,https://www.redfin.com/VA/Alexandria/04-Mountaineer-DR-22306/home/177496457,BRIGHT MLS,VAFX2025920,N,Y,38.7592256,-77.08261988
MLS Listing,,Townhouse,05 Mountaineer Dr,Alexandria,VA,22306,744990,4,4.0,NORTH HILL,2558,3000,2021,1,291,112,Active,,,https://www.redfin.com/VA/Alexandria/05-Mountaineer-DR-22306/home/177496450,BRIGHT MLS,VAFX2026746,N,Y,38.75907592,-77.08256131
MLS Listing,,Townhouse,02 Mountaineer Dr,Alexandria,VA,22306,567990,2,3.0,NORTH HILL,1624,3000,,1,350,112,Active,,,https://www.redfin.com/VA/Alexandria/02-Mountaineer-DR-22306/home/177496390,BRIGHT MLS,VAFX2025900,N,Y,38.72550053,-77.0928122
MLS Listing,,Condo/Co-op,3309 Wyndham Cir #4185,Alexandria,VA,22302,374900,2,2.0,POINTE AT PARK C,1096,,1990,1,342,459,Active,,,https://www.redfin.com/VA/Alexandria/3309-Wyndham-Cir-22302/unit-4185/home/11877080,BRIGHT MLS,VAAX2006012,N,Y,38.8341146,-77.1025352
MLS Listing,,Townhouse,3917 Woodhue Pl #1,Alexandria,VA,22309,279000,3,2.0,SEQUOYAH PH 5C2,1266,,1976,1,220,495,Active,,,https://www.redfin.com/VA/Alexandria/3917-Woodhue-Pl-22309/unit-1/home/9813162,BRIGHT MLS,VAFX2033702,N,Y,38.739581,-77.096167
MLS Listing,,Single Family Residential,4103 Javins Dr,Alexandria,VA,22310,585000,4,2.0,RIDGE VIEW,969,11819,1957,2,604,,Active,,,https://www.redfin.com/VA/Alexandria/4103-Javins-Dr-22310/home/9759251,BRIGHT MLS,VAFX2031626,N,Y,38.7889297,-77.1037265
