SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6829 Ontario St,Springfield,VA,22152,615000,3,3.0,WEST SPRINGFIELD VILLAGE,2400,10547,1967,26,256,,Active,,,http://www.redfin.com/VA/West-Springfield/6829-Ontario-St-22152/home/9773582,BRIGHT MLS,VAFX2025268,N,Y,38.7664431,-77.2255389
MLS Listing,,Condo/Co-op,7880 Rolling Woods Ct #405,Springfield,VA,22152,599900,3,2.5,HIDDENBROOKE CONDO,1987,,2004,29,302,520,Active,,,http://www.redfin.com/VA/West-Springfield/7880-Rolling-Woods-Ct-22152/unit-405/home/176549402,BRIGHT MLS,VAFX2024080,N,Y,38.762258,-77.216376
MLS Listing,,Single Family Residential,8118 Marcy Ave,Springfield,VA,22152,635000,4,3.0,WEST SPRINGFIELD,1440,14374,1965,31,441,,Active,,,http://www.redfin.com/VA/West-Springfield/8118-Marcy-Ave-22152/home/9772905,BRIGHT MLS,VAFX2020110,N,Y,38.7714111,-77.2269214
MLS Listing,,Single Family Residential,6812 Landor Ln,Springfield,VA,22152,698000,5,4.0,WEST SPRINGFIELD VILLAGE,2676,10842,1967,32,261,,Active,,,http://www.redfin.com/VA/West-Springfield/6812-Landor-Ln-22152/home/9772159,BRIGHT MLS,VAFX2024318,N,Y,38.7664989,-77.228952
MLS Listing,,Condo/Co-op,8500 Barrington Ct Unit E,Springfield,VA,22152,194900,1,1.0,TIVOLI CONDO,675,,1974,39,289,184,Active,,,http://www.redfin.com/VA/West-Springfield/8500-Barrington-Ct-22152/unit-E/home/143405898,BRIGHT MLS,VAFX2022978,N,Y,38.79372,-77.2391899
MLS Listing,,Townhouse,6140 Willowick Ln,Springfield,VA,22152,584900,4,3.5,THE TIMBERS SEC 4T,2078,1550,1984,47,281,87,Active,,,http://www.redfin.com/VA/West-Springfield/6140-Willowick-Ln-22152/home/9739993,BRIGHT MLS,VAFX2020642,N,Y,38.784357,-77.250055
MLS Listing,,Condo/Co-op,8358-D Dunham Ct #622,Springfield,VA,22152,299000,2,1.0,CARDINAL FOREST CONDO,1104,,1968,47,271,374,Active,,,http://www.redfin.com/VA/West-Springfield/8358D-Dunham-Ct-22152/unit-622/home/176346486,BRIGHT MLS,VAFX2021244,N,Y,38.792689,-77.23368
MLS Listing,,Single Family Residential,6233 Mcconnell Ln,Springfield,VA,22152,1064900,5,4.5,RESIDENCES AT MCCONNELL,3094,4999,2021,59,344,125,Active,,,http://www.redfin.com/VA/West-Springfield/6233-Mcconnell-LN-22152/home/176249596,BRIGHT MLS,VAFX2018714,N,Y,38.78379,-77.23582
MLS Listing,,Townhouse,8125 Carrleigh Pkwy,Springfield,VA,22152,485000,3,2.5,CHARLESTOWN,1540,1374,1968,62,315,225,Active,,,http://www.redfin.com/VA/West-Springfield/8125-Carrleigh-Pkwy-22152/home/9745661,BRIGHT MLS,VAFX2013612,N,Y,38.789325,-77.22633
MLS Listing,,Condo/Co-op,7709 Lexton Pl Unit C,Springfield,VA,22152,300000,2,2.0,RAMBLEWOOD AT DAVENTRY C,1075,,1985,71,279,282,Active,,,http://www.redfin.com/VA/West-Springfield/7709-Lexton-Pl-22152/unit-C/home/9776802,BRIGHT MLS,VAFX2015980,N,Y,38.761068,-77.211985
MLS Listing,,Townhouse,7360 Stream Bluff Way,Springfield,VA,22153,695000,3,3.5,POHICK OVERLOOK,2448,2895,2002,80,284,100,Active,,,http://www.redfin.com/VA/Springfield/7360-Stream-Bluff-Way-22153/home/9841675,BRIGHT MLS,VAFX2012340,N,Y,38.757812,-77.221231
MLS Listing,,Condo/Co-op,5814 Royal Ridge Dr Unit M,Springfield,VA,22152,230000,2,1.0,TIVOLI CONDO,798,,1974,103,288,350,Active,,,http://www.redfin.com/VA/West-Springfield/5814-Royal-Ridge-Dr-22152/unit-M/home/9741531,BRIGHT MLS,VAFX2008152,N,Y,38.795847,-77.238807
MLS Listing,,Condo/Co-op,8507 Barrington Ct Unit D,Springfield,VA,22152,234900,2,1.0,TIVOLI CONDO,789,,1974,122,298,346,Active,,,http://www.redfin.com/VA/West-Springfield/8507-Barrington-Ct-22152/unit-D/home/9741419,BRIGHT MLS,VAFX1203068,N,Y,38.794249,-77.23845
MLS Listing,,Condo/Co-op,8500 Barrington Ct Unit D,Springfield,VA,22152,204900,1,1.0,TIVOLI,675,,1974,174,304,292,Active,,,http://www.redfin.com/VA/West-Springfield/8500-Barrington-Ct-22152/unit-D/home/9741375,BRIGHT MLS,VAFX1193842,N,Y,38.79372,-77.2391899
