SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9737 Ironmaster Dr,Burke,VA,22015,725000,4,2.5,CHERRY RUN,2048,9714,1984,22,354,5,Active,,,https://www.redfin.com/VA/Burke/9737-Ironmaster-Dr-22015/home/9766029,BRIGHT MLS,VAFX2080042,N,Y,38.7672525,-77.2827847
MLS Listing,,Townhouse,5526 Lakewhite Ct,Fairfax,VA,22032,547000,3,3.0,PT THE VILLAGE PARK,1792,2870,1982,24,305,100,Active,,,https://www.redfin.com/VA/Fairfax/5526-Lakewhite-Ct-22032/home/9728584,BRIGHT MLS,VAFX2079648,N,Y,38.7995477,-77.2953018
MLS Listing,,Townhouse,5511 Lakewhite Ct,Fairfax,VA,22032,519999,3,3.0,PT THE VILLAGE PARK,1280,1400,1982,25,406,100,Active,,,https://www.redfin.com/VA/Fairfax/5511-Lakewhite-Ct-22032/home/9728570,BRIGHT MLS,VAFX2076856,N,Y,38.7995946,-77.2941744
MLS Listing,,Single Family Residential,7014 Ashbury Dr,Springfield,VA,22152,778000,5,3.0,ROLLING VALLEY,2440,11424,1968,25,319,,Active,,,https://www.redfin.com/VA/Springfield/7014-Ashbury-Dr-22152/home/9774446,BRIGHT MLS,VAFX2077062,N,Y,38.762916,-77.2376639
MLS Listing,,Single Family Residential,10185 Marshall Pond Rd,Burke,VA,22015,699999,4,2.5,BURKE CENTRE,1800,7210,1979,25,389,76,Active,,,https://www.redfin.com/VA/Burke/10185-Marshall-Pond-Rd-22015/home/9731542,BRIGHT MLS,VAFX2079228,N,Y,38.7828388,-77.29827
MLS Listing,,Single Family Residential,9104 Joyce Phillip Ct,Springfield,VA,22153,760000,4,2.5,ORANGE HUNT ESTATES,2303,11350,1970,25,330,,Active,,,https://www.redfin.com/VA/Springfield/9104-Joyce-Phillip-Ct-22153/home/9767364,BRIGHT MLS,VAFX2079458,N,Y,38.7671064,-77.2570163
MLS Listing,,Single Family Residential,9021 Advantage Ct,Burke,VA,22015,949990,5,3.5,SIGNAL HILL ESTATES,4327,11265,1993,19,220,33,Active,July-24-2022 01:00 PM,July-24-2022 04:00 PM,https://www.redfin.com/VA/Burke/9021-Advantage-Ct-22015/home/9736837,BRIGHT MLS,VAFX2072414,N,Y,38.8051603,-77.2595754
MLS Listing,,Single Family Residential,9108 Fox Lair Dr,Burke,VA,22015,679999,5,2.0,FOX LAIR,1026,10010,1979,26,663,4,Active,,,https://www.redfin.com/VA/Burke/9108-Fox-Lair-Dr-22015/home/9736198,BRIGHT MLS,VAFX2076996,N,Y,38.7963772,-77.2601591
MLS Listing,,Single Family Residential,8980 Scott St,Springfield,VA,22153,998500,4,2.5,SOUTH RUN FOREST,2891,14927,1995,26,345,11,Active,,,https://www.redfin.com/VA/Springfield/8980-Scott-St-22153/home/9798833,BRIGHT MLS,VAFX2077726,N,Y,38.7444724,-77.2521224
MLS Listing,,Townhouse,6386 Shaundale Dr,Springfield,VA,22152,535555,3,2.5,SHANNON STATION,1720,2000,1981,26,311,83,Active,,,https://www.redfin.com/VA/Springfield/6386-Shaundale-Dr-22152/home/9768657,BRIGHT MLS,VAFX2079398,N,Y,38.7778119,-77.252403
